Table,Foreign Table,Foreign Key Column
gl_hierview_ledger_info,gl_ledgers,LEDGER_ID
fa_mc_deprn_detail_h,gl_ledgers,SET_OF_BOOKS_ID
ap_invoices_all,gl_ledgers,SET_OF_BOOKS_ID
fun_bal_inter_rules,gl_ledgers,FROM_LEDGER_ID
fun_bal_inter_rules,gl_ledgers,TO_LEDGER_ID
fun_bal_intra_rules,gl_ledgers,LEDGER_ID
fa_mc_conversion_rates,gl_ledgers,SET_OF_BOOKS_ID
fa_mc_conversion_history,gl_ledgers,SET_OF_BOOKS_ID
xla_transfer_ledgers,gl_ledgers,SECONDARY_LEDGER_ID
xla_transfer_ledgers,gl_ledgers,PRIMARY_LEDGER_ID
fa_mc_books_summary,gl_ledgers,SET_OF_BOOKS_ID
gl_suspense_accounts,gl_ledgers,LEDGER_ID
gl_ledger_set_requests,gl_ledgers,LEDGER_ID
gl_ledger_set_requests,gl_ledgers,LEDGER_SET_ID
gl_ledgers,gl_ledgers,IMPLICIT_LEDGER_SET_ID
vrm_recon_summary_ccid,gl_ledgers,LEDGER_ID
fa_mc_deprn_summary,gl_ledgers,SET_OF_BOOKS_ID
je_fr_das2_le_etb_summ_t,gl_ledgers,SET_OF_BOOKS_ID
gl_access_set_norm_assign,gl_ledgers,LEDGER_ID
gl_period_statuses,gl_ledgers,LEDGER_ID
jl_br_sped_acct_configs_f,gl_ledgers,LEDGER_ID
xla_external_system_ledger_map,gl_ledgers,FUSION_LEDGER_ID
ap_invoice_distributions_all,gl_ledgers,SET_OF_BOOKS_ID
gl_xfr_psft_interface,gl_ledgers,LEDGER_ID
ar_recon_summary_parameters,gl_ledgers,LEDGER_ID
vrm_new_app_sources,gl_ledgers,LEDGER_ID
ap_system_parameters_all,gl_ledgers,SET_OF_BOOKS_ID
