Index,Uniqueness,Tablespace,Columns
GL_LEDGERS_N1,Non Unique,Default,"CHART_OF_ACCOUNTS_ID, PERIOD_SET_NAME, ACCOUNTED_PERIOD_TYPE"
GL_LEDGERS_N2,Non Unique,Default,BAL_SEG_VALUE_SET_ID
GL_LEDGERS_N3,Non Unique,Default,MGT_SEG_VALUE_SET_ID
GL_LEDGERS_N4,Non Unique,Default,LAST_UPDATE_DATE
GL_LEDGERS_N5,Non Unique,Default,"UPPER(""NAME"")"
GL_LEDGERS_U1,Unique,Default,NAME
GL_LEDGERS_U2,Unique,Default,LEDGER_ID
GL_LEDGERS_U3,Unique,Default,SHORT_NAME
